Schaff du dir etwas Niveau und Intellekt an und dann sprechen wir uns wieder, deal?;1
Wo wurden deswegen Mindestbeiträge eingeführt?;0
Seit wann hat die denn Ahnung von Sport?;0
Habt ihr mich vermisst?;1
Noch jemand aus Leipzig?;1
Was ist deine größte Angst?;0
Was bedeutet intelligente Automatisierung für Ihre Belegschaft?;0
Ist die nicht mehr für Motorradfahrer?;1
"Gab's nicht auch mal auch mal ""Künstler"" die nen Typen umgebracht haben und sagten es sei Aktionskunst?";1
Wohin führt der Weg von Sebastian Rudy?;0
Werden Sie es eventuell noch rezensieren?;1
Wo denn?;0
Wollen Sie Ihren Sohn wirklich Sam nennen, Frau Sung?;1
Was sind das für Vögel?;0
Kann es sein, dass Sie Ihre Augen doch sehr von Ihrem unmittelbaren Umfeld abwenden?;1
Wo sind all die Aliens?;0
Wieso künstliche Intelligenz?;0
Wurde es schon aufgelöst?;1
Aber schon Fortnite gespielt, oder?;1
Auf welcher Rechtsgrundlage?;0
Hast du denn schon hier geschaut?;1
Wer ist denn so in Köln?;0
Gut, wo sitzt du?;0
Wie süß ist denn bitte dein Patronus?;0
Wer ist heute alles Schwimmbad?;0
Ist das jetzt schon deiner?;1
Warum kracht es eigentlich immer auf Höhe Pforzheim?;0
Trifft man dich in Halle 1 an?;1
Ist das normal das da so wenig drauf ist?;1
Was wissen Sie noch von den Geschehnissen der letzten Woche?;0
Kann man noch vorbeikommen?;1
Wer kennt den Konto-Betrüger vom Hardtberg?;0
Was soll das denn?;0
Will ich dich denn wirklich sehen?;1
Was hast du erwartet?;0
Kommt der neue Patch mit einem praktischen Item?;1
Warum ich den Sommer liebe?;0
Sind wir zum Verzicht bereit?;1
Was hast du erwartet?;0
Was haltet ihr von der Idee in co2 Kompensation von Flügen zu investieren?;0
Wer hatte den Scheiß behauptet?;0
Wie hieß der kleine Mann?;0
Wie sieht es aktuell aus?;0
Wurde bereits eine Störung gemeldet?;1
Und was wäre wenn es ein Spiegel Journalist ist?;0
Bruder gibt es neue News wegen Karrierenmodus?;1
Mehr Lohn?;1
Kann man auch gewinnen, wenn man gerade nicht vor Ort ist?;1
Naja ob bayrisch Schwaben noch Bayern ist?;1
Was wurde eigentlich aus SerienweltDE?;0
Sollte ich vielleicht mal weiterarbeiten?;1
Wie verzweifelt die ist?;0
Warum finde ich das so süß gerade?;0
Willst du noch mit hochkommen, mein Paninialbum angucken?;1
Können Patienten direkt aus der Intensivstation nach Hause entlassen werden?;1
Wieso verbreitest du jetzt falsche Infos?;0
Schaust du noch?;1
Wie erreicht das Foto eigentlich ausgerechnet die PNN?;0
Ist das gerecht?;1
Wie ist der Anstehsimulator 2018 in Köln so?;0
Schläfst du da jetzt?;1
Bringst mir was mit?;1
Hallo, kann man das bei Ihnen auch mal?;1
Kann man als Hähnchenwagenmann Homeoffice machen?;1
Hast Du zufällig die Norma Online Webseite offen gehabt?;1
Wie steht es um Gottes Gerechtigkeit?;0
Und nach welchem Studium gibt es die höchste Einstiegszufriedenheit?;0
Wie cool ist das denn?;0
Ist dies eigentlich, eine für Spd-Wahlkämpfe, optimierte Typografie?;1
Wer soll das glauben?;0
Ich sehe heute Abend The Black Dahlia Murder im Logo, wer noch?;0
Werde ich wohnen?;1
Wo ist deren Tweet denn so schnell hin verschwunden?;0
Haben die kalte Füße bekommen?;1
Hast du schon Call of Cthulhu gesehen?;1
Ist heute auch bei dir ein Tag der Tage?;1
Was macht ihr so?;0
Wo sind die Eltern unter euch?;0
Ein Jahr?;1
In einem Sportverein?;1
Wann bist du in Köln?;0
Was ist wenn ich nicht Franz heiße, nicht 17 bin und nicht Daniels Bruder?;0
Echt jetzt?;1
Die sind etwas später, was?;1
Könnte World War 3 den Giganten Battlefield vom Thron kicken?;1
Echte Kameradschaft statt Singleplayer-Modus?;1
Das wahre Problem ist...?;0
Thierry Henry neuer Trainer von Bordeaux?;1
Willst du dich individuell im Basketball weiterentwickeln?;1
Was soll ich sagen?;0
Wie kann man unabhängiger WKÖ-Präsident sein und gleichzeitig ÖVP Wirtschaftsbund Präsident?;0
Was war es?;0
Wir sind schon da, aber wo bist du?;0
Wieso wundert es mich nicht?;0
Warum muss er dies tun?;0
Wofür werden Sie eigentlich bezahlt?;0
Wie geht es weiter mit den transatlantischen Beziehungen?;0
Ich hoffe ihr seid inzwischen durch?;1
Was meinst du gehst du drauf ein?;1
Was denkt ihr?;0
Geklaute Fahrräder finden den Weg zurück?;1
Läuten die Entwicklungen in den Fällen Cohen und Manafort das Ende der Ära ein?;1
Was gibt's bei euch so neues?;0
Höhere Preise für alle?;1
Wie viel ist eine Seele eigentlich Wert?;0
Startelf oder Bank?;0
Was ist normal?;0
Wie alt ist die jetzt eigentlich?;0
Haben Sie fünf Minuten Zeit?;1
Könnte es sein, dass die Bundesagentur für Arbeit ganz einfach lügt?;1
Wer ist denn alles in eurem Legal Panel?;0
Hey Crew, was empfehlt ihr in Sachen Kamera- und Videoschnitt-Apps auf Android?;0
Gibt es etwas was dieser Feststellung widerspricht?;1
Wundert das noch einen?;1
Wo bleibt die Kontrolle?;0
Seh ich aus wie ein Auto?;1
Werden Ihre Heizkosten korrekt berechnet?;1
Wo ist der Verfassungsschutz?;0
Ist das dein Sohn?;1
Können Sie sich jetzt bitte selbst um Ihre Nachhilfe kümmern?;1
Wer ist auf der Messe und hat denn noch Lust was zu spielen?;0
Welche Glastür?;0
Kannst du mir dazu bitte kurz den Vertrag rausgoogeln?;1
Dafür brauchen die eine Studie?;1
Wieso ist es überhaupt erlaubt so Tiere zu halten?;0
Taugt das neue Addon was?;1
Wer hat genau welchen Schaden?;0
Ist jetzt Stillstand?;1
Wird es nun eng für Trump?;1
Ach und das haben sie geleugnet?;1
Wie weit ist es denn bzw. wie lange bist du unterwegs?;0
Was versteht jemand wie Du schon vom Fußball?;0
Wenn man sich selbst vorschlägt ist das dann unsympathisch?;1
Stellt sich bei dir die Wahl überhaupt?;1
Gibt's nen Kicker und Kaffeeflatrate?;1
Hi, kannst Du mir bitte die Sendungsnummer per DN schicken?;1
Oh wow, wie kann man nur so schön aussehen?;0
Was muss man tun, damit ein Amazon Prime Paket ankommt?;0
Ist das jetzt schon deiner?;1
Hat jemand gute mods für Sims?;1
Bei welchen Airlines gibt es noch kostenloses Essen?;0
In welchem Hotel geht das am besten?;0
Warum hast du gestern den Stream so plötzlich ausgeschaltet?;0
Geht die Tür zu dir oder zu ihr auf?;0
Finden Sie das irgendwie lustig?;1
Hätte die SZ nicht berichten sollen?;1
Subventionen für seine Verwandtschaft?;1
Abreißen oder stützen?;0
Wann kriegt ihr die Wartezeiten generell endlich in den Griff?;0
Ist das immer noch gültig?;1
Wer muss streichen?;0
"Hab ich irgendwelchen Blödsinn gemacht?""";1
Gehts noch?;1
Echt jetzt?;1
Bei Schulbüchern geht ihr durch die Decke?;1
Wann bist du öfter auf Twitter aktiv?;1
Was unterscheidet Aachen von anderen Städten?;0
Was macht die Stadt besonders?;0
Weiß noch jemand was ich damit vor hatte?;1
Wo stehen Sie in der Digitalisierung und was sind die nächsten Schritte?;0
Darf ich das reposten mit Quelle zu dir?;1
Wieder wegen der Hitze?;1
Wo die sind?;0
Du guckst auch den Glücksdetektiv?;1
Gab es schon Gespräche zur Soforthilfe für Solariumbetreiber?;1
Abkühlung gefällig?;1
Was wäre, wenn Deine Spülmaschine Dir sagt, wann sie neue Tabs braucht?;0
Wer hat denn jemals behauptet hübsche Frauen kein Instrument spielen können?;0
Was soll sich geändert haben?;0
Wie kann ein progressives Europa aussehen?;0
Was brauchen gute Fotos?;0
Und was hat das eine mit dem anderen zu tun?;0
Was für ein Ruf hat denn die Tagesschau?;0
Ist Ihr Job eher langweilige Routine oder macht er Sie glücklich?;0
Seid ihr am Start?;1
Wozu braucht Europa noch Grenzen???;0
Wie alt schätzt du ihn?;0
Was lernen wir daraus?;0
Sagt wer?;0
Mehr Lohn?;1
Würdest du das mit mir machen?;1
Gibt es einen Unterschied?;1
Ist eine Online Feedback Community der Mercedes unter den Marktforschungstools?;1
Hey du, kennst du die Qualität deiner Webanalyse-Daten?;1
Entscheidest du mit guten Daten?;1
Wie kannst du das überprüfen?;0
Und wer regiert uns heute nochmal?;0
Wer schleppt denn so einen Stein über die ganze Gamescom?;0
Und in welchem Rahmen soll das jetzt in die Diskussion über Lehrkräfte eingebaut werden?;0
Was ihr habt den Tweet gelesen und keine Million Euro dafür bezahlt?;1
Für wenn lebst du denn wenn nicht für dich?;0
Und wieso?;0
Selbstironie?;1
Ganz ohne Augenbrauen und Lachen?;1
Hast Du auch so einen Verrückten zu Hause ?;1
Könntest du mir bitte deine alte Brille zuschicken?;1
Für Twitter muss man also volljährig sein?;1
Warum muss es genau dann wieder warm werden, wenn ich wieder mit dem Lernen anfange?;0
War ich da dabei?;1
Sein wann gehören Wunder in den Ressortzuschnitt des Wirtschaftsministeriums?;0
So langsam?;1
Beschäftigt Ihr Österreicher?;1
Warum ist dieser Mann kein Held?;0
Was hat der arme Kerl denn?;0
Texterin gesucht?;1
Und was ist mit Bing?;0
Meinen Sie, ich benötige Gedächtnistraining?;1
Haben Sie sich vertippt?;1
Wollten sie Moos schreiben?;1
Ich dachte du bist jeden Tag auf der Gamescom?;1
Haben Sie diesen Mann schon einmal gesehen?;1
Welchen Teil des Grundgesetzes setzen wir jetzt außer Kraft?;0
Welches ist das Beste Template für binäre Optionen und CFD?;0
Ist das ein Fake?;1
Wie um alles in der Welt?;0
Was taugen die 35-Euro-Trachten?;0
Wo ist das Problem?;0
Darf ich?;1
Findest du gut was?;1
Habt ihr schon bei unserer  InstaChallenge mitgemacht?;1
Ist die Mannschaft überhaupt bundesligatauglich?;1
Muss der Trainer gehen?;1
Hast du geprüft, ob das kosteneffizient ist?;1
Hast du zufällig noch seinen Siegerkader als Bild oder so gespeichert?;1
Wie denn sonst?;0
Was halten Sie davon?;0
Was meinst du damit?;0
Wo ist Thomas Gottschalk?;0
Aber wie hoch sind die Anschaffungs- und Betriebskosten?;0
Hast du einen Link hierfür?;1
Kann man die Plakate irgendwo bekommen?;1
Sind die aus dem Zoo ausgebrochen?;1
Eine andere Möglichkeit von Zug zur Anreise gibt es nicht?;0
Welche Folge war das?;0
Mindert dieser Ausblick eigentlich den Immobilienwert?;1
Du wohnst in FFM und regst dich über Falschparker/-steher auf?;1
Bleiben wir in Kontakt?;1
Wundert es jemanden?;1
Wer hat uns verraten?;0
Seid ihr am Start?;1
Wer war nochmal seit Ewigkeiten in Bayern an der Macht?;0
Und das hat dann warum bisher nie geklappt?;0
Wie kommt man damit denn aus?;0
Sind das rohe Eier?;1
Wer bringt mir ne Axt?;0
Brauchen wir dafür Sticker?;1
Wo denn?;0
Wolltest du nicht aufhören?;1
Funktioniert alles?;1
Muss ich jemand bestimmtes ansprechen?;1
Dann darf mir aber der Unterhalt auch nicht abgezogen werden?;1
Zählt ein Vakuum auch als Inhalt?;1
Bekommt man jetzt weder auf die eingereichte Beschwerde noch hier eine Antwort?;1
Und was machst du wenn dich mal die Wildecker Herzbuben besuchen wollen?;0
Wär vielleicht ein bisschen groß ?;1
Sag mir, was ist das zwischen uns?;0
Was sollte der hier?;0
Welche Spiele hast du auf deinem Handy installiert?;0
Und wie geht das?;0
Machst du noch Videos?;1
Wie kannst du nur mit dieser Schrift leben?;0
Wie immer?;1
Geht es um 18 Uhr los oder verkündetet ihr dann wo es ist?;0
Warum heisst es eigentlich Wartezimmer ?;0
Wie spreche ich z.B. einen Wunschkontakt in Business-Netzwerken an?;0
Warum sollte Nintendo den Preis senken solange die Verkäufe noch stark genug sind?;0
Sicher das er das Buch nicht noch auf den letzten Drücker zuende schreibt?;1
Geht's nach Köln?;1
Kam der Auftrag für den Hack aus dem Kreml oder aus dem Weißen Haus?;0
War das nicht immer der Vorwurf gegen Gamer?;1
Gibt etwas was dieser Feststellung widerspricht?;1
Hast du es schon signiert?;1
Was ist denn hier los?;0
Deiner nun auch?;1
Sowas gibt's?;1
Sehen sich doch ähnlich oder?;1
Wo ist das Problem?;0
Passt der Wagen in den Aufzug?;1
Der Weg zum Glück?;1
Ok wartest du noch kurz?;1
Ist das noch eine Bundeswehr?;1
Ihre Vorschläge?;0
Hätte sie es ignorieren sollen?;1
Hätte sie die Augen vor den unmenschlichen Zuständen verschließen sollen?;1
Was halten Sie davon?;0
Allerdings - was passiert, wenn das alle Wirte so machen und es fast nur noch solche 'Angebote' gibt?;0
